id,query_id,query_group_id,execution_id,brand_in_response,total_sources,sources_with_brand,brand_mention_percentage
952179,259665,6514,13836,0,14,1,7.14
952178,259664,6514,13836,0,31,4,12.90
952177,259663,6514,13836,0,29,6,20.69
952176,259662,6514,13836,0,33,4,12.12
952162,259661,6513,13835,0,35,0,0.00
952161,259660,6513,13835,0,21,0,0.00
952160,259659,6513,13835,0,22,0,0.00
952159,259658,6513,13835,0,31,0,0.00
952158,259657,6513,13835,0,18,0,0.00
952157,259656,6513,13835,0,21,0,0.00
952156,259655,6513,13835,0,22,0,0.00
952155,259654,6513,13835,0,22,0,0.00
952154,259653,6513,13835,0,20,0,0.00
952153,259652,6513,13835,0,38,0,0.00
952152,259651,6513,13835,1,20,8,40.00
952151,259650,6513,13835,0,37,0,0.00
952150,259649,6513,13835,0,35,0,0.00
952149,259648,6513,13835,0,15,0,0.00
952148,259647,6513,13835,1,20,4,20.00
952147,259646,6513,13835,0,20,0,0.00
952146,259645,6513,13835,0,10,0,0.00
952145,259644,6513,13835,1,15,1,6.67
952144,259643,6513,13835,0,30,0,0.00
952143,259642,6513,13835,1,20,3,15.00
952142,259641,6513,13835,0,21,0,0.00
952141,259640,6513,13835,1,20,3,15.00
952140,259639,6513,13835,0,22,0,0.00
952139,259638,6513,13835,1,19,1,5.26
952138,259637,6513,13835,0,20,0,0.00
952137,259636,6513,13835,1,20,4,20.00
952136,259635,6513,13835,1,19,5,26.32
952135,259634,6513,13835,0,15,1,6.67
952134,259633,6513,13835,0,20,0,0.00
952133,259632,6513,13835,1,14,3,21.43
952132,259631,6513,13835,0,18,0,0.00
952131,259630,6513,13835,0,22,0,0.00
952130,259629,6513,13835,1,17,2,11.76
952129,259628,6513,13835,0,19,0,0.00
952128,259627,6513,13835,1,13,2,15.38
952127,259626,6513,13835,0,22,0,0.00
952126,259625,6513,13835,1,29,5,17.24
952125,259624,6513,13835,0,20,0,0.00
952124,259623,6513,13835,0,21,0,0.00
952123,259622,6513,13835,1,15,1,6.67
952122,259621,6513,13835,0,17,0,0.00
952121,259620,6513,13835,1,18,2,11.11
